id,user,text
681392993107066881,DrEdwardG,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
681365218274889728,xyzeto,Saw the new #design for the spinning color wheel of death.. #scarystuff #afraid
681341255255592960,JOHNsavehh,Day 4: Night out 🌉🌃😁 ...the fear is real 💔 #Day4 #NightOut #LamitanCityHall #Afraid… https://www.instagram.com/p/_0r_OhoWxe/
681315759520350208,frugalmaniac,Why be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow
681303652888350720,BestBibleTweets,"“Do not be #afraid, for behold, I bring you good tidings of great #joy which will be to all people” Lk 2:10 #Christmas"
681291174250967041,123ViolinTuner,"RT Ursula_Milani: Things I'm #now #afraid of: #violin, #stringistruments (also #string)... #talcumpowder #doorknobs and #keys..."
681288025943465984,Ursula_Milani,"Things I'm #now #afraid of: #violin, #stringistruments (also #string)... #talcumpowder #doorknobs and #keys..."
681284535846191104,ward0x,"Don't be #afraid of #death, be afraid of an unlived #life. You don't have to live #forever, you just have to #live. 💯🙌"
681281579470163972,SuperSweet2011,We have to #start teaching ourselves not to be #afraid.
681279270254153728,RevolutionFVC,"Acts 18:9: One night the Lord spoke to Paul in a vision: “Do not be #afraid; keep on speaking, do not be silent. #Bible #Gospel #Jesus"
681277507912495104,1AndyYoung,Sometimes what you're most afraid of doing is the very thing that will set you free. #fear #afraid #freedom
681267336318341120,Carnelia8,It's storming right now...I'm #afraid...where's my baby? Take it home...Marvin Sease...https://youtu.be/GHyh-CyDEAw.
681266824915189761,JTL359,I've never been a follow the #crowd type of person..why in school most were #afraid to #approach me cause I'm my own person..
681232546156425217,AdamSarwar,"Don't be afraid of being different, be afraid of being the same. #Be Not #Afraid #Yoda s… http://ift.tt/1mIJ9S0"
681229013424168961,hlz999,The worst feeling in the world is being afraid but not knowing of what! #afraid #fear #feeling
681225853817217026,AdamSarwar,"Don't be afraid of being different, be afraid of being the same. #Be Not #Afraid #Yoda style… https://www.instagram.com/p/_z3hDkuylo/"
681225465160425477,melissaburgard,"life gives you something that makes you feel #afraid, that's when #life gives you a #chance to be… https://www.instagram.com/p/_z3VtGJdzW/"
681206096950890496,ibabiharaujo,Or maybe it's all of this together... #quotes #thoughs #afraid #tolove https://www.instagram.com/p/_zuh_1Th50/
681195487928672256,frugalmaniac,Do not be #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow
681183994189185025,ankithardiya21,#Never be #afraid to try something #new because #life gets #boring when you #stay within the #limits of what you already knew.
681175050230317057,NobelaTompson,"Orlando pirates is at the 13th position in Absapsl. The 2015 ccc finalists is devastated, with no direction. #Afraid"
681170448126611458,ZiadAlshobaki,"If you are #afraid of #loneliness, don't #marry"
681166492373762048,Hypno_Academy,"Don't be #afraid to shake things up &amp; break the ""rules"". #BeYourself &amp; #believe in you. #inspiration #expression"
681154674213404676,Musaedme,"It’s not that I’m #afraid to speak up, it’s just that I’m picky about what leaves my mouth."
681148348825354240,MiShawneeTah,@LaliyahWatah u just lied last nite😂😂 #afraid
681126441426227201,MicrosoftOffic1,http://buff.ly/1RHYWNH #SybaseCertifiedProfessional-PowerBuilderProfessional #Limited #Want #writetip #won #Afraid… 
681114232650358784,Pmccrsp,"Do not be #afraid or faint-hearted in time of #aridity, for #God is with you more truly and more lovingly (cont) http://tl.gd/n_1so3our"
681100348920991744,buttaphly919,Higher Perspective on Instagram: “#afraid #quiet #think #introvert #solitude #loner... http://fb.me/7338ANrfm
681097876924162048,marjajohanna,"The #Bostonians are #AFRAID of the coming #winter, #snow and #parking #problems. This just proves a #teaparty can't cope with #life."
681089117107687424,barnabite,"Do not be #afraid or faint-hearted in time of #aridity, for #God is with you more #truly and more #lovingly (cont) http://tl.gd/n_1so3oil"
681074145531146240,frugalmaniac,Are you #afraid http://wp.me/p5qzxM-eM #Jesus #JesusCalling #JesusSaves #Follow pic.twitter.com/i9QRhoNUH6
681021770170789888,TechnewsNews,http://buff.ly/1RHYUFC #SybaseCertifiedProfessional-PowerBuilderProfessional #Limited #Want #writetip #won #Afraid… 
681018026934812672,m8ttr,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
681013821331365888,jzero71,"""Never be #afraid to #change."" -#DjKhaled #keysToSuccess #photocred my #surfBuddy @kainokeef by maxisms"
680999163564322816,Travel__Videos,Decide that you want it more than you are #afraid of it. ~Bill Cosby Via @AuthorAkansha
680987558726221824,Muchtooshy,"Cheerleader pulls U outta class!: http://goo.gl/Wf985Z, #embarrassed, #afraid, #scared … http://goo.gl/Wf985Z"
680962569457160194,kittyBBQ,"S1.E12 Finale of #Serial....""I'm scared I won't feel any resolution at the end of this."" #afraid"
680955398271164416,coolmonacom,Cool Mona Community: Kristin In NYC Who Feels #Afraid - http://bit.ly/1NRqkFQ
